date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-02-17,-4.6,-8.5,-10.3,-16,,-22,82,64.4,64.5,47,-11.3,-14.3,-15.2,-19.1,21,12.5,13.5,6,,,103.2,102.94,102.81,102.41,100.99,100.72,100.59,100.19,24100,24100,24100,24100,3.9,3.2,3.2,2.6,28.3,0,0,0,0,,,,12,07:13:00,17:50:00,10.62,7.22,17.83,2,3,-3,-3,-9,-8,,,,,,8,5.5,4,0,,,,
2021-02-16,-7,-9.97,-11.15,-15.3,,-21,90,75,76,62,-9.9,-13.7,-13.9,-18,37,26.08,21,5,54,36,102.29,101.17,101.44,100.59,100.08,98.99,99.26,98.43,24100,13379.2,12350,600,2.6,2.3,2.4,2.1,29.1,0,0,0,0,8.8,0,8.8,12,07:15:00,17:48:00,10.55,7.25,17.8,1,1,-6,-6,-16,-13,,,,,,8,5.2,4.5,1,,,,
2021-02-15,-4.2,-7.02,-6.94,-9.7,,-19,87,75.6,74.5,62,-9.5,-10.7,-10.7,-11.8,33,17.21,18.5,4,46,1,102.69,102.35,102,101.3,100.49,100.16,99.81,99.13,24100,18512.5,12850,1600,3.3,2.5,2.8,2.2,24.9,0,0,0,0,3.2,0,3.2,2,07:16:00,17:47:00,10.52,7.27,17.78,1,3,-6,-5,-9,-9,,,,,,8,6.8,5,2,,,,
2021-02-14,-4,-8.58,-9.4,-14.8,,-22,85,71.8,68.5,52,-10.8,-13,-13.8,-16.8,17,9.79,8.5,0,,,102.86,102.64,102.54,102.22,100.64,100.43,100.33,100.02,24100,22162.5,15250,6400,3.4,2.8,2.9,2.4,27.4,0,0,0,0,0.4,0,0.4,6,07:18:00,17:46:00,10.47,7.3,17.77,3,3,-4,-3,-8,-8,,,,,,8,3.8,4,0,,,,
2021-02-13,-9.1,-11.26,-11.5,-13.9,,-22,86,67,67,48,-12.8,-16.4,-15.8,-18.9,24,17,18,12,28,6,103.12,102.75,102.66,102.2,100.89,100.53,100.44,100,24100,16537.5,12850,1600,3.1,2.6,2.8,2.4,29.5,0,0,0,0,2.2,0,4.8,2,07:19:00,17:44:00,10.42,7.32,17.73,1,1,-9,-9,-11,-10,,,,,,8,6.3,4,0,,,,
2021-02-12,-8.3,-11.83,-11.25,-14.2,,-22,80,68.2,69,58,-12.4,-16.6,-15.9,-19.5,20,15.17,14.5,9,,,103.13,103.04,102.99,102.85,100.9,100.82,100.76,100.63,24100,16416.7,13450,2800,3.2,2.6,2.8,2.3,29.2,0,0,0,0,1.8,0,2.2,1,07:20:00,17:43:00,10.38,7.33,17.72,1,2,-7,-7,-14,-13,,,,,,8,5.1,4.5,1,,,,
2021-02-11,-4.7,-7.81,-7.94,-11.2,,-19,80,64,65,50,-11.9,-13.6,-14.2,-16.6,23,16.29,16.5,10,35,35,103.1,102.89,102.87,102.64,100.89,100.69,100.67,100.44,24100,24100,24100,24100,3.4,2.9,3,2.6,25.9,0,0,0,0,0,0,0,1,07:22:00,17:42:00,10.33,7.37,17.7,3,3,-4,-4,-15,-13,,,,,,8,4.7,4.5,1,,,,
2021-02-10,-5.3,-8.69,-9.25,-13.2,,-20,76,64.9,63,50,-12.7,-14.3,-14.6,-16.5,23,15.5,15,7,,,102.94,102.76,102.77,102.6,100.73,100.56,100.57,100.4,24100,24100,24100,24100,3.7,3.2,3.2,2.8,27.2,0,0,0,0,0,0,0,1,07:23:00,17:40:00,10.28,7.38,17.67,2,2,-5,-4,-12,-10,,,,,,8,4.9,4,0,,,,
2021-02-09,-2.7,-7.6,-7.05,-11.4,,-18,87,71.3,69.5,52,-11.2,-12.1,-13.2,-15.2,22,12.04,12,2,28,29,102.72,102.53,102.54,102.36,100.52,100.33,100.34,100.17,24100,19079.2,13250,2400,4,3.3,3.4,2.8,25.1,0,0,0,0,1,0,1.2,2,07:24:00,17:39:00,10.25,7.4,17.65,1,2,-4,-3,-12,-12,,,,,,8,4.8,4,0,,,,
2021-02-08,-6.5,-10.26,-9.94,-13.4,,-22,85,64.4,66,47,-12.2,-15.9,-14.9,-17.6,22,14,13,4,30,26,102.91,102.73,102.7,102.48,100.68,100.51,100.47,100.27,24100,21620.8,13650,3200,3.4,3,3,2.6,27.9,0,0,0,0,0.2,0,0.4,1,07:26:00,17:38:00,10.2,7.43,17.63,2,2,-7,-7,-9,-9,,,,,,8,4.2,4,0,,,,
