date,sum,refund_sum,donations,refunds,avg,max,ytdsum,ytdloss,week_day
2020-01-02,62419.79,0.0,3342,0,18.677376000000002,1040.0,879029.0,0.0,Thu
2020-01-03,37983.67,0.0,1949,0,19.488799,1000.0,917012.67,0.0,Fri
2020-01-04,26219.1,0.0,1337,0,19.610395999999998,208.0,943231.77,0.0,Sat
2020-01-05,33856.07,0.0,1289,0,26.265376,5596.86,977087.84,0.0,Sun
2020-01-06,26447.11,0.0,1347,0,19.634083,699.67,1003534.95,0.0,Mon
2020-01-07,22572.71,0.0,978,0,23.080481,5000.0,1026107.66,0.0,Tue
2020-01-08,18859.05,0.0,854,0,22.083197,1622.4,1044966.71,0.0,Wed
2020-01-09,13267.01,0.0,678,0,19.567860999999997,206.77,1058233.72,0.0,Thu
2020-01-10,11690.55,0.0,652,0,17.930291,208.0,1069924.27,0.0,Fri
2020-01-11,12898.58,0.0,596,0,21.641913,1040.0,1082822.85,0.0,Sat
2020-01-12,15694.3,0.0,595,0,26.376975,1111.06,1098517.15,0.0,Sun
2020-01-13,11404.83,0.0,536,0,21.277668,577.75,1109921.9800000002,0.0,Mon
2020-01-14,18024.59,0.0,687,0,26.236666999999997,3120.0,1127946.5700000005,0.0,Tue
2020-01-15,13471.52,0.0,624,0,21.588974,1000.0,1141418.0900000005,0.0,Wed
2020-01-16,12452.04,0.0,583,0,21.358559,520.0,1153870.1300000004,0.0,Thu
2020-01-17,9354.58,0.0,468,0,19.988419,651.2,1163224.7100000004,0.0,Fri
2020-01-18,11784.24,0.0,425,0,27.727624,2000.0,1175008.9500000004,0.0,Sat
2020-01-19,12291.54,0.0,411,0,29.906422999999997,2000.0,1187300.4900000005,0.0,Sun
2020-01-20,10155.98,0.0,430,0,23.618558,1000.0,1197456.4700000004,0.0,Mon
2020-01-21,9952.86,0.0,391,0,25.454885,1560.0,1207409.3300000005,0.0,Tue
2020-01-22,759332.08,0.0,10872,0,69.842907,6000.0,1966741.4100000008,0.0,Wed
2020-01-23,9156.81,0.0,418,0,21.906244,398.03,1975898.220000001,0.0,Thu
2020-01-24,8136.09,0.0,417,0,19.511007,520.0,1984034.310000001,0.0,Fri
2020-01-25,12496.57,0.0,379,0,32.97248,1661.14,1996530.880000001,0.0,Sat
2020-01-26,5663.21,0.0,324,0,17.479043,250.0,2002194.090000001,0.0,Sun
2020-01-27,14408.39,0.0,598,0,24.094298000000002,900.0,2016602.480000001,0.0,Mon
2020-01-28,16937.54,0.0,528,0,32.078674,1003.08,2033540.020000001,0.0,Tue
2020-01-29,9292.52,0.0,305,0,30.467278999999998,2080.0,2042832.540000001,0.0,Wed
2020-01-30,7986.95,0.0,351,0,22.754843,520.0,2050819.490000001,0.0,Thu
2020-01-31,16382.41,0.0,291,0,56.296942,6240.0,2067201.9000000008,0.0,Fri
2020-02-01,6557.8,0.0,318,0,20.622013,500.0,2073759.700000001,0.0,Sat
2020-02-02,6663.67,0.0,290,0,22.978172,616.47,2080423.370000001,0.0,Sun
2020-02-03,7580.67,0.0,279,0,27.170859999999998,1622.4,2088004.0400000003,0.0,Mon
2020-02-04,210716.97,0.0,17463,0,12.066482,577.09,2298721.0100000007,0.0,Tue
2020-02-05,48631.79,0.0,3528,0,13.784521,1628.64,2347352.8000000007,0.0,Wed
2020-02-06,356928.05,0.0,33074,0,10.791802,1040.0,2704280.850000001,0.0,Thu
2020-02-07,79379.6,0.0,5822,0,13.634421,1040.0,2783660.450000001,0.0,Fri
2020-02-08,34301.99,0.0,2261,0,15.171159,2286.38,2817962.4400000013,0.0,Sat
2020-02-09,28486.69,0.0,1753,0,16.250251000000002,1675.44,2846449.1300000013,0.0,Sun
2020-02-10,26753.7,0.0,1820,0,14.699835,200.0,2873202.8300000015,0.0,Mon
2020-02-11,226690.31,0.0,27319,0,8.297899000000001,416.0,3099893.140000001,0.0,Tue
2020-02-12,183907.28,0.0,28690,0,6.410153,350.79,3283800.4200000013,0.0,Wed
2020-02-13,218137.24,0.0,19177,0,11.374941,1135.17,3501937.660000001,0.0,Thu
2020-02-14,44107.79,0.0,3587,0,12.296567999999999,218.03,3546045.450000001,0.0,Fri
2020-02-15,22401.04,0.0,1655,0,13.535372,250.0,3568446.490000001,0.0,Sat
2020-02-16,19392.61,0.0,1299,0,14.928876,564.78,3587839.100000001,0.0,Sun
2020-02-17,17372.69,0.0,1251,0,13.887042000000001,200.0,3605211.7900000014,0.0,Mon
2020-02-18,12949.94,0.0,897,0,14.436945000000001,270.83,3618161.7300000014,0.0,Tue
2020-02-19,321585.12,0.0,28201,0,11.403323,750.0,3939746.850000001,0.0,Wed
2020-02-20,105179.92,0.0,9228,0,11.397911,2000.0,4044926.7700000014,0.0,Thu
2020-02-21,28423.21,0.0,2222,0,12.791724,250.0,4073349.9800000014,0.0,Fri
2020-02-22,16205.36,0.0,1248,0,12.985064,224.58,4089555.3400000012,0.0,Sat
2020-02-23,14772.32,0.0,1046,0,14.122677,260.0,4104327.6600000006,0.0,Sun
2020-02-24,15483.91,0.0,1081,0,14.323691,269.92,4119811.5700000008,0.0,Mon
2020-02-25,12400.79,0.0,837,0,14.815759,520.0,4132212.3600000013,0.0,Tue
2020-02-26,12500.46,0.0,817,0,15.300441000000001,1065.0,4144712.8200000008,0.0,Wed
2020-02-27,188273.17,0.0,13629,0,13.814159,543.05,4332985.990000001,0.0,Thu
2020-02-28,222668.28,0.0,6257,0,35.587067,4000.0,4555654.270000001,0.0,Fri
2020-02-29,21033.7,0.0,1313,0,16.019573,516.75,4576687.970000002,0.0,Sat
2020-03-01,19936.91,0.0,1181,0,16.88138,310.05,4596624.880000002,0.0,Sun
2020-03-02,17081.33,0.0,1134,0,15.062901,260.0,4613706.210000002,0.0,Mon
2020-03-03,151127.2,0.0,23567,0,6.412662,211.36,4764833.410000002,0.0,Tue
2020-03-04,313434.2,0.0,40839,0,7.674875,1617.2,5078267.610000002,0.0,Wed
2020-03-05,328271.68,0.0,37550,0,8.742255,1000.0,5406539.290000002,0.0,Thu
2020-03-06,157876.65,0.0,22195,0,7.113163,795.0,5564415.940000002,0.0,Fri
2020-03-07,145239.34,0.0,20717,0,7.010636,581.11,5709655.280000002,0.0,Sat
2020-03-08,124327.69,0.0,17866,0,6.958899000000001,558.76,5833982.9700000025,0.0,Sun
2020-03-09,99942.58,0.0,13758,0,7.264325,1040.0,5933925.550000003,0.0,Mon
2020-03-10,97204.3,0.0,13081,0,7.430953,500.0,6031129.850000002,0.0,Tue
2020-03-11,250088.12,0.0,27345,0,9.145662,553.77,6281217.9700000025,0.0,Wed
2020-03-12,292874.25,0.0,29884,0,9.80037,588.07,6574092.2200000025,0.0,Thu
2020-03-13,24529.27,0.0,1787,0,13.726507999999999,500.0,6598621.490000002,0.0,Fri
2020-03-14,18729.22,0.0,858,0,21.828928,5000.0,6617350.710000003,0.0,Sat
2020-03-15,16384.38,0.0,891,0,18.388754000000002,1000.0,6633735.090000003,0.0,Sun
2020-03-16,8604.03,0.0,655,0,13.135924,312.0,6642339.120000003,0.0,Mon
2020-03-17,9536.09,0.0,616,0,15.480666000000001,465.0,6651875.210000003,0.0,Tue
2020-03-18,6802.98,0.0,506,0,13.444625,114.4,6658678.190000002,0.0,Wed
2020-03-19,8640.45,0.0,487,0,17.742197,500.0,6667318.640000002,0.0,Thu
2020-03-20,9580.61,0.0,531,0,18.042579999999997,341.7,6676899.250000003,0.0,Fri
2020-03-21,6873.28,0.0,381,0,18.040105,1000.0,6683772.530000002,0.0,Sat
2020-03-22,8517.19,0.0,421,0,20.230855,1155.37,6692289.7200000025,0.0,Sun
