Major Genre,MPAA Rating,Running Time min,IMDB Rating,IMDB Votes
Action,R,108.0,5.8,33584.0
Comedy,PG-13,95.0,5.8,51109.0
Action,PG-13,106.0,5.2,15817.0
Adventure,,108.0,5.9,45773.0
Drama,R,111.0,6.1,9908.0
Drama,R,115.0,6.6,19682.0
Drama,PG-13,108.0,5.6,23472.0
Action,PG-13,115.0,5.4,20052.0
Adventure,PG-13,108.0,6.2,26309.0
Action,R,101.0,5.3,23262.0
Action,R,115.0,5.9,37287.0
Horror,R,107.0,7.1,80234.0
Drama,PG-13,90.0,,
Action,R,98.0,4.9,4215.0
Musical,G,75.0,,
Comedy,PG,90.0,5.6,14682.0
Action,R,109.0,6.6,19735.0
Action,R,92.0,4.9,7230.0
Drama,G,222.0,8.2,78947.0
Comedy,PG-13,92.0,6.9,54111.0
Adventure,PG,101.0,5.8,2963.0
Adventure,PG-13,145.0,6.5,149493.0
Adventure,PG-13,95.0,4.1,13770.0
Adventure,PG-13,138.0,6.9,82601.0
Drama,PG-13,113.0,5.3,17267.0
Comedy,PG,89.0,4.9,22928.0
Comedy,R,113.0,6.7,28404.0
,,100.0,,
Action,R,120.0,6.6,28257.0
Action,R,100.0,,
Action,R,137.0,7.5,84.0
Comedy,PG-13,110.0,6.3,76396.0
Drama,,87.0,5.7,9307.0
Action,PG-13,110.0,6.9,86222.0
Comedy,PG-13,117.0,5.7,11935.0
Drama,R,160.0,7.3,54484.0
Comedy,PG-13,95.0,5.6,32234.0
Drama,PG,124.0,6.3,26823.0
Action,PG,100.0,4.8,9477.0
Adventure,G,94.0,5.3,1734.0
Action,R,121.0,6.6,38524.0
Action,R,100.0,,
Drama,PG-13,120.0,6.5,78.0
Action,R,136.0,7.2,108324.0
Comedy,PG,93.0,5.2,9693.0
Drama,PG-13,105.0,7.6,22439.0
Drama,R,120.0,6.3,4570.0
Horror,R,93.0,5.3,7888.0
Drama,R,133.0,8.0,41785.0
Drama,R,105.0,7.3,51874.0
Drama,R,99.0,7.0,741.0
Comedy,R,115.0,3.9,18012.0
Drama,PG-13,90.0,7.0,7581.0
Comedy,PG-13,81.0,4.7,12682.0
Drama,R,94.0,8.2,150483.0
Drama,R,150.0,7.1,38577.0
Drama,PG,110.0,6.7,25916.0
Action,PG-13,117.0,6.0,61665.0
Drama,PG-13,100.0,5.6,365.0
Musical,G,103.0,8.3,102795.0
Drama,R,117.0,5.9,8038.0
Drama,R,101.0,5.7,4837.0
Comedy,G,100.0,4.4,7147.0
Action,PG-13,108.0,5.4,8914.0
Comedy,PG-13,98.0,6.1,32634.0
Horror,R,91.0,5.1,23243.0
Horror,PG-13,102.0,6.9,72913.0
Action,PG-13,158.0,6.2,396.0
Comedy,PG-13,103.0,5.8,17937.0
Horror,R,113.0,7.6,103525.0
Horror,R,91.0,7.1,69558.0
Drama,R,123.0,,
Drama,PG,111.0,7.5,19040.0
Action,R,117.0,7.8,235508.0
Action,R,115.0,7.3,68726.0
Comedy,R,111.0,7.5,94557.0
Drama,R,109.0,6.8,38311.0
Action,PG-13,123.0,5.8,32606.0
Drama,R,110.0,6.7,55877.0
Comedy,R,99.0,6.6,42928.0
Adventure,G,96.0,7.3,56866.0
Action,PG-13,88.0,8.1,1193.0
Action,PG-13,97.0,6.2,19793.0
Drama,PG-13,118.0,6.8,23149.0
Drama,R,141.0,7.3,10054.0
Comedy,PG,97.0,4.6,4698.0
Action,R,124.0,6.3,61394.0
Drama,PG-13,128.0,6.0,11994.0
Comedy,R,95.0,5.3,4366.0
Comedy,PG-13,109.0,5.8,29891.0
Comedy,PG,93.0,4.0,4801.0
Drama,R,159.0,6.6,31785.0
Action,R,108.0,6.2,66141.0
Comedy,R,123.0,8.0,94424.0
Comedy,PG,78.0,5.5,43164.0
Comedy,PG-13,101.0,6.6,92494.0
Horror,R,96.0,2.3,26028.0
Adventure,,135.0,5.9,4944.0
Comedy,PG,92.0,5.5,19200.0
Adventure,R,175.0,5.4,59498.0
Drama,R,118.0,8.6,292562.0
Comedy,PG-13,84.0,4.5,6000.0
Comedy,R,122.0,8.5,181085.0
Drama,R,157.0,7.9,114060.0
Drama,R,152.0,7.1,28477.0
Comedy,R,105.0,6.2,66751.0
Comedy,R,96.0,6.1,52210.0
Comedy,R,95.0,6.9,106624.0
Horror,R,89.0,5.8,26303.0
Horror,PG-13,97.0,4.3,9565.0
Horror,PG-13,89.0,4.2,29430.0
Musical,G,94.0,6.6,16513.0
Comedy,PG-13,104.0,7.0,78249.0
Drama,R,103.0,5.5,11089.0
Comedy,PG-13,106.0,6.1,57088.0
Comedy,PG-13,81.0,5.7,23259.0
Comedy,PG-13,83.0,4.6,18601.0
Drama,PG-13,147.0,6.5,14881.0
Comedy,R,96.0,5.6,24090.0
Comedy,R,103.0,6.6,52894.0
Adventure,PG,83.0,6.8,37343.0
Drama,PG-13,114.0,5.9,8514.0
Adventure,R,136.0,7.9,82162.0
Drama,PG-13,148.0,7.1,7757.0
Adventure,PG-13,150.0,6.1,194.0
Adventure,PG-13,126.0,6.2,53106.0
Adventure,PG,122.0,5.9,7626.0
Drama,PG-13,146.0,6.9,91901.0
Adventure,PG,94.0,6.4,5265.0
Drama,PG,109.0,6.4,10506.0
Drama,R,121.0,7.6,29095.0
Action,PG-13,119.0,7.2,29886.0
Drama,PG-13,128.0,5.6,6872.0
Adventure,PG,96.0,6.4,15552.0
Drama,PG-13,101.0,6.8,16336.0
Drama,PG-13,106.0,4.8,9309.0
Drama,R,130.0,7.9,75491.0
Drama,PG,113.0,7.5,28650.0
Musical,PG-13,133.0,7.5,45611.0
Comedy,PG-13,95.0,6.6,81005.0
Comedy,PG-13,94.0,6.2,69140.0
Comedy,PG-13,89.0,7.1,74487.0
Action,PG-13,91.0,3.4,21432.0
Drama,PG-13,170.0,7.6,85740.0
Horror,PG-13,101.0,5.4,63019.0
Adventure,PG,120.0,5.6,21516.0
Comedy,R,98.0,7.3,14929.0
Adventure,G,75.0,6.1,9918.0
Action,PG-13,100.0,5.3,27189.0
Comedy,PG,94.0,2.2,9038.0
Action,R,147.0,6.2,58002.0
Action,PG-13,117.0,5.3,17901.0
Action,R,98.0,5.4,20931.0
Comedy,R,98.0,5.5,7435.0
Action,PG-13,140.0,8.3,270641.0
Action,PG-13,121.0,2.3,39316.0
Action,PG-13,152.0,8.9,465000.0
Drama,R,130.0,6.1,4485.0
Drama,PG-13,167.0,8.0,137120.0
Comedy,PG-13,99.0,6.1,16128.0
Comedy,PG-13,115.0,5.6,32082.0
Comedy,PG-13,95.0,4.7,48.0
Comedy,PG-13,93.0,5.9,30946.0
Action,R,143.0,8.0,118925.0
Comedy,G,88.0,6.0,28950.0
Comedy,PG-13,80.0,6.6,22918.0
Drama,PG-13,112.0,6.9,41052.0
Drama,R,130.0,7.5,20888.0
Comedy,PG,90.0,6.3,30575.0
Action,PG-13,106.0,6.1,32575.0
Drama,R,172.0,5.3,102.0
Adventure,,103.0,4.4,16600.0
Adventure,PG-13,115.0,6.6,62513.0
Comedy,PG,88.0,5.2,9877.0
Drama,PG-13,125.0,8.1,141099.0
Action,R,91.0,5.8,14157.0
Comedy,R,127.0,8.2,177960.0
Comedy,PG-13,98.0,4.7,21318.0
Action,R,144.0,7.7,98653.0
Drama,PG-13,110.0,7.7,38403.0
Drama,PG,132.0,6.4,28827.0
Action,R,121.0,7.0,64896.0
Horror,R,87.0,6.2,87629.0
Comedy,PG-13,111.0,6.4,23243.0
Action,R,117.0,5.5,90.0
Action,R,113.0,5.7,42477.0
Comedy,PG-13,94.0,6.5,51929.0
Horror,R,90.0,4.3,10424.0
Drama,R,115.0,7.1,28145.0
Comedy,PG,95.0,,
Comedy,PG-13,97.0,6.2,44128.0
Drama,R,123.0,7.4,70218.0
Drama,PG-13,105.0,5.5,11699.0
Drama,PG-13,135.0,8.0,126067.0
Comedy,PG-13,123.0,6.5,30732.0
Drama,R,120.0,7.1,23262.0
Drama,R,152.0,7.9,70962.0
Comedy,R,83.0,7.7,3612.0
Action,PG-13,110.0,7.7,122597.0
Action,PG-13,108.0,7.6,104614.0
Action,PG-13,114.0,8.2,146025.0
Comedy,PG,83.0,5.6,4340.0
Drama,PG-13,106.0,5.5,10702.0
Drama,PG-13,94.0,7.8,21683.0
Comedy,PG-13,124.0,6.2,20962.0
Drama,R,134.0,7.8,115951.0
Drama,R,99.0,6.4,2797.0
Comedy,R,102.0,2.8,153.0
Comedy,PG-13,106.0,5.5,4848.0
Comedy,PG-13,103.0,6.2,11164.0
Comedy,PG-13,90.0,7.4,24484.0
Comedy,R,91.0,7.3,45022.0
Action,R,152.0,8.4,178742.0
Action,PG-13,95.0,5.9,23545.0
Comedy,PG-13,102.0,,
Action,PG-13,130.0,3.5,81283.0
Comedy,R,107.0,6.8,15486.0
Drama,PG-13,131.0,,
Comedy,PG-13,96.0,6.4,33389.0
Comedy,PG-13,100.0,4.8,26834.0
Comedy,PG,90.0,,
Drama,R,108.0,6.7,5026.0
Comedy,PG-13,98.0,6.2,19470.0
Horror,R,101.0,4.3,7235.0
Drama,PG-13,144.0,7.5,102936.0
Drama,PG-13,141.0,5.7,224.0
Comedy,PG,82.0,3.4,15318.0
Action,PG-13,104.0,3.2,34651.0
Adventure,PG,77.0,,
Action,R,109.0,5.2,24358.0
Adventure,PG,95.0,4.6,7082.0
Adventure,PG,94.0,6.4,14905.0
Comedy,PG,115.0,7.1,102437.0
Action,PG-13,106.0,4.7,43942.0
Adventure,PG-13,98.0,5.5,60791.0
Musical,PG-13,113.0,7.2,82650.0
Adventure,G,80.0,5.8,17415.0
Adventure,G,84.0,7.3,48307.0
Comedy,PG,98.0,5.6,24283.0
Comedy,PG,94.0,5.2,11858.0
Horror,R,89.0,5.3,13735.0
Drama,R,139.0,6.2,8580.0
