Region,Code,Year,share_deforestation_exported
Brazil,BRA,2005-01-01,24.419643453540576
Brazil,BRA,2006-01-01,24.35075026737904
Brazil,BRA,2007-01-01,23.523409518396967
Brazil,BRA,2008-01-01,18.542434782358782
Brazil,BRA,2009-01-01,16.51288968990269
Brazil,BRA,2010-01-01,15.541322215503902
Brazil,BRA,2011-01-01,15.268645158978247
Brazil,BRA,2012-01-01,19.49510705598454
Brazil,BRA,2013-01-01,21.484076614300104
Indonesia,IDN,2005-01-01,40.888775230319595
Indonesia,IDN,2006-01-01,47.311451576574775
Indonesia,IDN,2007-01-01,46.620069045101204
Indonesia,IDN,2008-01-01,49.054395762592705
Indonesia,IDN,2009-01-01,52.497443519597674
Indonesia,IDN,2010-01-01,46.50657354310215
Indonesia,IDN,2011-01-01,47.10599939647514
Indonesia,IDN,2012-01-01,50.005076730505934
Indonesia,IDN,2013-01-01,50.8429631201039
